Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality
EH6 7LW,Yes,55.968144,-3.139943,328944,675602,NT289756,"Craigentinny/Duddingston","",1980-01-01,,8,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7LX,Yes,55.96973,-3.159294,327739,675798,NT277757,"Leith","",1980-01-01,,11,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7LY,Yes,55.969763,-3.15867,327778,675801,NT277758,"Leith","",1980-01-01,,11,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7LZ,Yes,55.969031,-3.158216,327805,675719,NT278757,"Leith","",1980-01-01,,15,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7NA,Yes,55.968601,-3.158075,327813,675671,NT278756,"Leith","",1980-01-01,,17,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7NB,Yes,55.968922,-3.157364,327858,675706,NT278757,"Leith","",1980-01-01,,15,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7ND,Yes,55.968667,-3.156731,327897,675677,NT278756,"Leith","",1980-01-01,,15,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7NE,Yes,55.96936,-3.15563,327967,675753,NT279757,"Leith","",1980-01-01,,12,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7NF,Yes,55.96933,-3.155053,328003,675749,NT280757,"Leith","",1980-01-01,,11,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7NG,Yes,55.96907,-3.154949,328009,675720,NT280757,"Leith","",1980-01-01,,12,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7NH,Yes,55.968655,-3.156138,327934,675675,NT279756,"Leith","",1980-01-01,,15,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7NJ,Yes,55.968407,-3.156643,327902,675648,NT279756,"Leith","",1980-01-01,,17,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7NL,Yes,55.968222,-3.157247,327864,675628,NT278756,"Leith","",1980-01-01,,18,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7NN,Yes,55.968129,-3.155642,327964,675616,NT279756,"Leith","",1980-01-01,,18,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7NP,Yes,55.968456,-3.154338,328046,675651,NT280756,"Leith","",1980-01-01,,16,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7NQ,Yes,55.969002,-3.155523,327973,675713,NT279757,"Leith","",1980-01-01,,13,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7NR,Yes,55.968173,-3.152871,328137,675618,NT281756,"Leith","",1980-01-01,,19,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7NS,Yes,55.968106,-3.154295,328048,675612,NT280756,"Leith","",1980-01-01,,19,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7NT,Yes,55.967349,-3.155506,327971,675529,NT279755,"Leith","",1980-01-01,,22,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7NU,Yes,55.967398,-3.154114,328058,675533,NT280755,"Leith","",1980-01-01,,21,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7NW,Yes,55.968727,-3.154217,328054,675681,NT280756,"Leith","",1980-01-01,,14,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7NX,Yes,55.967107,-3.156428,327913,675504,NT279755,"Leith","",1980-01-01,,22,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7NY,Yes,55.96662,-3.155597,327964,675448,NT279754,"Leith","",1980-01-01,,23,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7NZ,No,55.966539,-3.155658,327960,675439,NT279754,"Leith","",1973-08-01,1992-07-01,24,Scotland,2019-02-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference"
EH6 7PA,Yes,55.966835,-3.155667,327960,675472,NT279754,"Leith","",1980-01-01,,23,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7PD,Yes,55.966327,-3.156599,327901,675417,NT279754,"Leith","",2018-02-01,,24,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7PH,Yes,55.969713,-3.157355,327860,675794,NT278757,"Leith","",1980-01-01,,11,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7PJ,Yes,55.969909,-3.153708,328088,675813,NT280758,"Leith","",1980-01-01,,10,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7PL,Yes,55.969839,-3.151559,328222,675802,NT282758,"Leith","",1980-01-01,,11,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7PN,Yes,55.96953,-3.151902,328200,675768,NT282757,"Leith","",1980-01-01,,12,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7PP,Yes,55.968453,-3.152177,328181,675649,NT281756,"Leith","",1980-01-01,,18,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7PR,Yes,55.967838,-3.152236,328176,675580,NT281755,"Leith","",1980-01-01,,21,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7PS,Yes,55.967392,-3.151903,328196,675531,NT281755,"Leith","",1980-01-01,,22,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7PT,Yes,55.96729,-3.153197,328115,675521,NT281755,"Leith","",1980-01-01,,22,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7PU,Yes,55.967695,-3.153049,328125,675565,NT281755,"Leith","",1980-01-01,,21,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7PW,Yes,55.968876,-3.1527,328149,675696,NT281756,"Leith","",1980-01-01,,14,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7PX,Yes,55.966916,-3.152802,328139,675478,NT281754,"Leith","",1980-01-01,,22,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7PY,Yes,55.967095,-3.150949,328255,675496,NT282754,"Leith","",1980-01-01,,22,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7PZ,Yes,55.96745,-3.151424,328226,675536,NT282755,"Leith","",1980-01-01,,21,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7QA,Yes,55.967635,-3.151223,328239,675557,NT282755,"Leith","",1980-01-01,,21,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7QB,Yes,55.967619,-3.150612,328277,675554,NT282755,"Leith","",1980-01-01,,21,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7QD,Yes,55.96836,-3.151178,328243,675637,NT282756,"Leith","",1980-01-01,,18,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7QE,Yes,55.967896,-3.15179,328204,675586,NT282755,"Leith","",1980-01-01,,20,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7QF,Yes,55.968665,-3.151558,328220,675672,NT282756,"Leith","",1980-01-01,,17,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7QG,Yes,55.968378,-3.150186,328305,675638,NT283756,"Leith","",1980-01-01,,18,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7QH,Yes,55.967767,-3.14927,328361,675570,NT283755,"Leith","",1980-01-01,,20,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7QJ,Yes,55.967273,-3.150153,328305,675515,NT283755,"Leith","",1980-01-01,,22,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
